#TALX,TALY,TALZ,BA,MNIX,MNIY,MNIZ
57,-36,21,Right-SupTempGyrus (22),58,-37,20
56,-52,16,Right-Fusiform (37),56,-53,14
53,-49,19,Right-AngGyrus (39),53,-51,17
40,-58,20,Right-AngGyrus (39),39,-60,19
58,-62,22,Right-AngGyrus (39),57,-64,21
55,-50,19,Right-AngGyrus (39),55,-52,17
60,-56,12,Right-Fusiform (37),60,-57,9
51,-44,45,Right-SupramargGyr (40),50,-48,48
48,-66,39,Right-AngGyrus (39),47,-70,41
49,-65,10,Right-VisualAssoc (19),48,-66,6
51,-43,14,Right-SupTempGyrus (22),52,-44,11
57,-38,4,Right-MedTempGyrus (21),59,-38,-1
42,-50,24,Right-AngGyrus (39),42,-52,23
46,-56,26,Right-AngGyrus (39),45,-58,26
42,-59,27,Right-AngGyrus (39),41,-62,27
51,-51,25,Right-AngGyrus (39),51,-53,24
53,-51,19,Right-AngGyrus (39),53,-53,17
53,-53,23,Right-AngGyrus (39),53,-55,22
50,-40,19,Right-SupTempGyrus (22),51,-41,17
51,-42,21,Right-AngGyrus (39),52,-44,20
53,-48,27,Right-AngGyrus (39),53,-50,27
52,-46,14,Right-AngGyrus (39),53,-47,11
48,-42,19,Right-SupTempGyrus (22),49,-43,17
53,-54,28,Right-AngGyrus (39),53,-56,28
48,-52,34,Right-AngGyrus (39),47,-55,35
42,-52,16,Right-AngGyrus (39),42,-54,14
48,-55,27,Right-AngGyrus (39),47,-57,27
40,-55,32,Right-AngGyrus (39),39,-58,33
44,-66,36,Right-AngGyrus (39),43,-70,38
31,-76,33,Right-AngGyrus (39),30,-80,35
50,-55,28,Right-AngGyrus (39),49,-57,28
52,-52,18,Right-AngGyrus (39),52,-53,16
56,-54,19,Right-AngGyrus (39),56,-56,17
53,-51,25,Right-AngGyrus (39),53,-53,24
59,-53,32,Right-AngGyrus (39),59,-56,32
53,-46,19,Right-AngGyrus (39),54,-48,17
44,-75,20,Right-VisualAssoc (19),43,-78,18
58,-56,12,Right-Fusiform (37),58,-57,9
56,-49,13,Right-Fusiform (37),57,-50,10
50,-40,13,Right-SupTempGyrus (22),51,-41,10
58,-56,16,Right-AngGyrus (39),58,-57,14
61,-53,23,Right-AngGyrus (39),61,-55,22
